书籍路径,toc.md中的标题,缺失文件的完整路径
"algorithm/competitive-programming","多堆博弈问题","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\game-theory\multi-pile-games.md"
"algorithm/competitive-programming","有向图博弈","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\game-theory\directed-graph-games.md"
"algorithm/competitive-programming","博弈 DP 进阶","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\game-theory\advanced-game-dp.md"
"algorithm/competitive-programming","Anti-Nim 与反常博弈","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\game-theory\anti-nim.md"
"algorithm/competitive-programming","博弈论综合题","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\game-theory\comprehensive-problems.md"
"algorithm/competitive-programming","博弈论竞赛真题","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\game-theory\competition-problems.md"
"algorithm/competitive-programming","网络流基础概念","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow\network-flow-basics.md"
"algorithm/competitive-programming","最大流问题","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow\maximum-flow.md"
"algorithm/competitive-programming","Ford-Fulkerson 方法","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow\ford-fulkerson.md"
"algorithm/competitive-programming","Edmonds-Karp 算法","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow\edmonds-karp.md"
"algorithm/competitive-programming","Dinic 算法","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow\dinic.md"
"algorithm/competitive-programming","ISAP 算法","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow\isap.md"
"algorithm/competitive-programming","最小割与最大流最小割定理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow\min-cut.md"
"algorithm/competitive-programming","二分图最大匹配（网络流解法）","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow\bipartite-matching-flow.md"
"algorithm/competitive-programming","最小费用最大流","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow\min-cost-max-flow.md"
"algorithm/competitive-programming","SPFA 费用流","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow\spfa-cost-flow.md"
"algorithm/competitive-programming","上下界网络流","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow-applications\bounded-flow.md"
"algorithm/competitive-programming","有源汇上下界最大流","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow-applications\bounded-max-flow.md"
"algorithm/competitive-programming","有源汇上下界最小流","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow-applications\bounded-min-flow.md"
"algorithm/competitive-programming","最大权闭合子图","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow-applications\max-weight-closure.md"
"algorithm/competitive-programming","最小路径覆盖","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow-applications\min-path-cover.md"
"algorithm/competitive-programming","最大独立集（二分图）","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow-applications\max-independent-set.md"
"algorithm/competitive-programming","方格取数问题","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow-applications\grid-selection.md"
"algorithm/competitive-programming","餐巾计划问题","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow-applications\napkin-planning.md"
"algorithm/competitive-programming","网络流建模技巧","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow-applications\flow-modeling.md"
"algorithm/competitive-programming","网络流综合题","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\network-flow-applications\comprehensive-problems.md"
"algorithm/competitive-programming","计算几何概述","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\computational-geometry\geometry-overview.md"
"algorithm/competitive-programming","点、向量与坐标运算","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\computational-geometry\point-vector.md"
"algorithm/competitive-programming","叉积与点积应用","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\computational-geometry\cross-dot-product.md"
"algorithm/competitive-programming","直线与线段","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\computational-geometry\line-segment.md"
"algorithm/competitive-programming","线段相交判定","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\computational-geometry\segment-intersection.md"
"algorithm/competitive-programming","多边形面积","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\computational-geometry\polygon-area.md"
"algorithm/competitive-programming","点与多边形关系","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\computational-geometry\point-in-polygon.md"
"algorithm/competitive-programming","凸包算法","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\computational-geometry\convex-hull.md"
"algorithm/competitive-programming","旋转卡壳","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\computational-geometry\rotating-calipers.md"
"algorithm/competitive-programming","最近点对","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\computational-geometry\closest-pair.md"
"algorithm/competitive-programming","半平面交","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-geometry\half-plane-intersection.md"
"algorithm/competitive-programming","Voronoi 图与 Delaunay 三角剖分","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-geometry\voronoi-delaunay.md"
"algorithm/competitive-programming","最小圆覆盖","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-geometry\minimum-enclosing-circle.md"
"algorithm/competitive-programming","扫描线在几何中的应用","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-geometry\sweep-line-geometry.md"
"algorithm/competitive-programming","三维几何基础","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-geometry\3d-geometry.md"
"algorithm/competitive-programming","凸包（三维）","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-geometry\3d-convex-hull.md"
"algorithm/competitive-programming","计算几何精度处理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-geometry\precision-handling.md"
"algorithm/competitive-programming","几何变换","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-geometry\geometric-transformation.md"
"algorithm/competitive-programming","计算几何模板汇总","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-geometry\geometry-templates.md"
"algorithm/competitive-programming","计算几何竞赛真题","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-geometry\competition-problems.md"
"algorithm/competitive-programming","AC 自动机原理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-string\ac-automaton-basics.md"
"algorithm/competitive-programming","AC 自动机实现","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-string\ac-automaton-implementation.md"
"algorithm/competitive-programming","多模式串匹配","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-string\multi-pattern-matching.md"
"algorithm/competitive-programming","后缀数组进阶应用","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-string\suffix-array-advanced.md"
"algorithm/competitive-programming","后缀自动机进阶应用","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-string\suffix-automaton-advanced.md"
"algorithm/competitive-programming","回文自动机（PAM）","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-string\palindrome-automaton.md"
"algorithm/competitive-programming","Lyndon 分解","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-string\lyndon-factorization.md"
"algorithm/competitive-programming","最小表示法","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-string\minimum-representation.md"
"algorithm/competitive-programming","字符串哈希进阶","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-string\advanced-string-hash.md"
"algorithm/competitive-programming","字符串算法综合","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\advanced-string\comprehensive-problems.md"
"algorithm/competitive-programming","LeetCode 周赛精选（简单）","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\competition\leetcode-weekly-easy.md"
"algorithm/competitive-programming","LeetCode 周赛精选（中等）","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\competition\leetcode-weekly-medium.md"
"algorithm/competitive-programming","LeetCode 周赛精选（困难）","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\competition\leetcode-weekly-hard.md"
"algorithm/competitive-programming","LeetCode 双周赛精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\competition\leetcode-biweekly.md"
"algorithm/competitive-programming","Google Kick Start 精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\competition\google-kickstart.md"
"algorithm/competitive-programming","Google Code Jam 精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\competition\google-codejam.md"
"algorithm/competitive-programming","Codeforces Div.2 精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\competition\codeforces-div2.md"
"algorithm/competitive-programming","Codeforces Div.1 精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\competition\codeforces-div1.md"
"algorithm/competitive-programming","AtCoder 精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\competition\atcoder.md"
"algorithm/competitive-programming","ACM-ICPC 区域赛精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\competition\acm-icpc-regional.md"
"algorithm/competitive-programming","字节跳动算法面试精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\interview\bytedance.md"
"algorithm/competitive-programming","腾讯算法面试精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\interview\tencent.md"
"algorithm/competitive-programming","阿里巴巴算法面试精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\interview\alibaba.md"
"algorithm/competitive-programming","美团算法面试精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\interview\meituan.md"
"algorithm/competitive-programming","Google 算法面试精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\interview\google.md"
"algorithm/competitive-programming","Meta 算法面试精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\interview\meta.md"
"algorithm/competitive-programming","Amazon 算法面试精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\interview\amazon.md"
"algorithm/competitive-programming","Microsoft 算法面试精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\interview\microsoft.md"
"algorithm/competitive-programming","Apple 算法面试精选","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\interview\apple.md"
"algorithm/competitive-programming","大厂面试综合模拟","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\interview\mock-interview.md"
"algorithm/competitive-programming","竞赛时间管理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\strategy\time-management.md"
"algorithm/competitive-programming","题目分类与选择策略","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\strategy\problem-selection.md"
"algorithm/competitive-programming","调试与对拍技巧","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\strategy\debugging-techniques.md"
"algorithm/competitive-programming","常见错误与避坑指南","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\strategy\common-mistakes.md"
"algorithm/competitive-programming","代码模板管理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\strategy\code-templates.md"
"algorithm/competitive-programming","赛后复盘方法","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\strategy\post-contest-review.md"
"algorithm/competitive-programming","Rating 提升路径","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\strategy\rating-improvement.md"
"algorithm/competitive-programming","从 1600 到 2100 的进阶之路","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\strategy\intermediate-to-advanced.md"
"algorithm/competitive-programming","从 2100 到 2400 的突破之路","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\strategy\advanced-to-expert.md"
"algorithm/competitive-programming","算法竞赛终极指南","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\strategy\ultimate-guide.md"
"algorithm/dynamic-programming","实战：火柴拼正方形","E:\CoderBooks\src\books\algorithm\dynamic-programming\book_zh\state-compression\practice-matchsticks-to-square.md"
"algorithm/dynamic-programming","实战：统计特殊数字","E:\CoderBooks\src\books\algorithm\dynamic-programming\book_zh\digit-dp\practice-count-special-numbers.md"
"algorithm/dynamic-programming","实战：单调队列优化示例","E:\CoderBooks\src\books\algorithm\dynamic-programming\book_zh\dp-optimization\practice-monotonic-queue-dp.md"
"algorithm/dynamic-programming","实战：斜率优化示例","E:\CoderBooks\src\books\algorithm\dynamic-programming\book_zh\dp-optimization\practice-convex-hull-trick.md"
"algorithm/graph-algorithms","图遍历的选择：DFS vs BFS","E:\CoderBooks\src\books\algorithm\graph-algorithms\book_zh\graph-traversal\dfs-vs-bfs.md"
"algorithm/graph-algorithms","实战：课程表 II","E:\CoderBooks\src\books\algorithm\graph-algorithms\book_zh\graph-traversal\practice-course-schedule-ii.md"
"algorithm/graph-algorithms","实战：判断二分图","E:\CoderBooks\src\books\algorithm\graph-algorithms\book_zh\graph-traversal\practice-is-bipartite.md"
"algorithm/graph-algorithms","实战：可能的二分法","E:\CoderBooks\src\books\algorithm\graph-algorithms\book_zh\graph-traversal\practice-possible-bipartition.md"
"algorithm/graph-algorithms","实战：推箱子","E:\CoderBooks\src\books\algorithm\graph-algorithms\book_zh\search-advanced\practice-minimum-moves-to-move-a-box.md"
"algorithm/graph-algorithms","实战：判断二分图","E:\CoderBooks\src\books\algorithm\graph-algorithms\book_zh\bipartite\practice-is-bipartite.md"
"algorithm/graph-algorithms","实战：二分图最大匹配应用","E:\CoderBooks\src\books\algorithm\graph-algorithms\book_zh\bipartite\practice-max-bipartite-matching.md"
"design/01-design-principles-typescript","什么是代码架构：前端视角的理解","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\foundations\what-is-code-architecture.md"
"design/01-design-principles-typescript","好代码的标准：可读性、可维护性与可扩展性","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\foundations\good-code-standards.md"
"design/01-design-principles-typescript","软件复杂度的本质与应对策略","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\foundations\software-complexity.md"
"design/01-design-principles-typescript","代码质量的度量与评估","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\foundations\code-quality-metrics.md"
"design/01-design-principles-typescript","SOLID 原则概述：为什么需要设计原则","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\solid-overview.md"
"design/01-design-principles-typescript","单一职责原则 (SRP)：职责的定义与边界","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\srp-principle.md"
"design/01-design-principles-typescript","SRP 实战：组件、Hooks 与服务的职责划分","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\srp-practice.md"
"design/01-design-principles-typescript","开闭原则 (OCP)：面向扩展开放的设计","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\ocp-principle.md"
"design/01-design-principles-typescript","OCP 实战：插件化与策略模式的应用","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\ocp-practice.md"
"design/01-design-principles-typescript","里氏替换原则 (LSP)：继承的正确使用","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\lsp-principle.md"
"design/01-design-principles-typescript","LSP 实战：组件继承与接口设计","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\lsp-practice.md"
"design/01-design-principles-typescript","接口隔离原则 (ISP)：API 设计的精细化","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\isp-principle.md"
"design/01-design-principles-typescript","ISP 实战：Props 设计与接口拆分","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\isp-practice.md"
"design/01-design-principles-typescript","依赖倒置原则 (DIP)：解耦的核心思想","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\dip-principle.md"
"design/01-design-principles-typescript","DIP 实战：依赖注入在前端的实现","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\solid\dip-practice.md"
"design/01-design-principles-typescript","DRY 原则：重复的识别与消除策略","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\pragmatic\dry-principle.md"
"design/01-design-principles-typescript","DRY 的边界：何时重复是合理的","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\pragmatic\dry-boundaries.md"
"design/01-design-principles-typescript","KISS 原则：简单性的价值与实践","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\pragmatic\kiss-principle.md"
"design/01-design-principles-typescript","YAGNI 原则：克制过度设计的冲动","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\pragmatic\yagni-principle.md"
"design/01-design-principles-typescript","关注点分离：代码职责的边界划分","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\pragmatic\separation-of-concerns.md"
"design/01-design-principles-typescript","高内聚低耦合：模块设计的核心准则","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\pragmatic\cohesion-coupling.md"
"design/01-design-principles-typescript","最小知识原则：减少模块间的依赖","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\pragmatic\law-of-demeter.md"
"design/01-design-principles-typescript","组合优于继承：灵活性的选择","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\pragmatic\composition-over-inheritance.md"
"design/01-design-principles-typescript","TypeScript 类型系统概览","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\typescript\type-system-overview.md"
"design/01-design-principles-typescript","基础类型与类型注解","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\typescript\basic-types.md"
"design/01-design-principles-typescript","接口与类型别名的选择","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\typescript\interface-vs-type.md"
"design/01-design-principles-typescript","联合类型与交叉类型","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\typescript\union-intersection.md"
"design/01-design-principles-typescript","字面量类型与类型收窄","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\typescript\literal-narrowing.md"
"design/01-design-principles-typescript","类型守卫：运行时类型检查","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\typescript\type-guards.md"
"design/01-design-principles-typescript","never 类型与穷尽性检查","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\typescript\never-exhaustive.md"
"design/01-design-principles-typescript","泛型基础：类型的参数化","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\generics\generics-basics.md"
"design/01-design-principles-typescript","泛型约束：限制类型参数的范围","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\generics\generic-constraints.md"
"design/01-design-principles-typescript","泛型默认值与可选泛型","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\generics\generic-defaults.md"
"design/01-design-principles-typescript","泛型函数与泛型类","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\generics\generic-functions-classes.md"
"design/01-design-principles-typescript","泛型工具类型：Partial、Required、Pick","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\generics\utility-types-1.md"
"design/01-design-principles-typescript","泛型工具类型：Omit、Record、Exclude","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\generics\utility-types-2.md"
"design/01-design-principles-typescript","自定义工具类型设计","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\generics\custom-utility-types.md"
"design/01-design-principles-typescript","条件类型基础：类型的 if-else","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\advanced\conditional-basics.md"
"design/01-design-principles-typescript","条件类型与 infer 关键字","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\advanced\conditional-infer.md"
"design/01-design-principles-typescript","分布式条件类型","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\advanced\distributive-conditional.md"
"design/01-design-principles-typescript","映射类型：批量转换类型","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\advanced\mapped-types.md"
"design/01-design-principles-typescript","映射类型修饰符：readonly 与可选","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\advanced\mapped-modifiers.md"
"design/01-design-principles-typescript","模板字面量类型","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\advanced\template-literal-types.md"
"design/01-design-principles-typescript","递归类型与类型递归限制","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\advanced\recursive-types.md"
"design/01-design-principles-typescript","类型体操实战：深度 Readonly","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\advanced\deep-readonly.md"
"design/01-design-principles-typescript","类型体操实战：路径类型提取","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\advanced\path-types.md"
"design/01-design-principles-typescript","类型驱动开发 (TDD with Types)","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\type-safe\type-driven-development.md"
"design/01-design-principles-typescript","类型安全的 API 设计","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\type-safe\type-safe-api.md"
"design/01-design-principles-typescript","类型安全的事件系统","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\type-safe\type-safe-events.md"
"design/01-design-principles-typescript","类型安全的状态管理","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\type-safe\type-safe-state.md"
"design/01-design-principles-typescript","类型安全的路由设计","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\type-safe\type-safe-routing.md"
"design/01-design-principles-typescript","运行时类型检查：Zod 与 io-ts","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\type-safe\runtime-validation.md"
"design/01-design-principles-typescript","类型与 Schema 的统一","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\type-safe\type-schema-sync.md"
"design/01-design-principles-typescript","实战：类型安全的 HTTP 客户端","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\practice\type-safe-http-client.md"
"design/01-design-principles-typescript","实战：类型安全的表单系统","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\practice\type-safe-forms.md"
"design/01-design-principles-typescript","实战：类型安全的配置系统","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\practice\type-safe-config.md"
"design/01-design-principles-typescript","TypeScript 编译配置最佳实践","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\practice\tsconfig-best-practices.md"
"design/01-design-principles-typescript","总结：设计原则与类型系统的融合","E:\CoderBooks\src\books\design\01-design-principles-typescript\book_zh\practice\principles-types-integration.md"
"design/02-design-patterns","设计模式概述：模式的价值与分类","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\foundations\patterns-overview.md"
"design/02-design-patterns","设计模式与设计原则的关系","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\foundations\patterns-principles.md"
"design/02-design-patterns","如何学习和选择设计模式","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\foundations\learning-patterns.md"
"design/02-design-patterns","前端开发中的常见模式场景","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\foundations\frontend-patterns-scenarios.md"
"design/02-design-patterns","简单工厂：对象创建的集中管理","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\creational\simple-factory.md"
"design/02-design-patterns","工厂方法：可扩展的对象创建","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\creational\factory-method.md"
"design/02-design-patterns","抽象工厂：产品族的创建策略","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\creational\abstract-factory.md"
"design/02-design-patterns","工厂模式实战：组件工厂与动态加载","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\creational\factory-practice.md"
"design/02-design-patterns","单例模式：全局唯一实例的管理","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\creational\singleton-pattern.md"
"design/02-design-patterns","单例模式的问题与替代方案","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\creational\singleton-alternatives.md"
"design/02-design-patterns","建造者模式：复杂对象的分步构建","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\creational\builder-pattern.md"
"design/02-design-patterns","建造者模式实战：配置构建与查询构建","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\creational\builder-practice.md"
"design/02-design-patterns","原型模式：对象克隆与配置复用","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\creational\prototype-pattern.md"
"design/02-design-patterns","对象池模式：资源的复用与管理","E:\CoderBooks\src\books\design\02-design-patterns\book_zh\creational\object-pool.md"
